,Text,Event,Image,Show,Speaker,
,"[[“Alright then, let’s go!”, “B”], [“On second thought, let’s go to the stables!”, “A2”]]",Dialogue,,,,
A2,"You walk over to the park and stroll around the playground. It is a nice day, and there are lots of children playing on the swings.",Dialogue,park_alt.png,date1,,
,"The two of you make small talk for a while, but you quickly realize that you don't share many interests. The longer the walk drags on, the more you sense your date losing interest as the conversation falls into lulls of silence.",Dialogue,,date1,,
,"This isn't good. You were looking forward to this day, you can't just let your efforts go to waste. You need to start winning her back – and quick!",Dialogue,,date1,,
,You look around and spot a carousel. Your date is glancing over at it too. Maybe a carnival ride could boost the spirits?,Dialogue,carousel.png,date1,,
,But it looks like it costs money… and your rent is due this week. Maybe a silly joke could sufficiently lighten the mood? ,Dialogue,,date1,,
,"[[“Suggest riding the carousel.”, “A4”], [“Tell a silly joke.”, “A3”]]",Option,,,,
A3,You turn to your date: “Hey! … Why did the tomato turn red?”,Dialogue,park_alt.png,date1,,
,They look at you with confusion.,Dialogue,,date1,,
,"Already, you regret your decision, but you’ve committed to the joke now, so you have to see it through to the end!",Dialogue,,date1,,
,You take a deep breath and deliver the punch line: “Because it saw the salad dressing!” ,Dialogue,,date1,,
,"As soon as the words leave your mouth, you feel you soul fall into a pit. This is not going to go well.",Dialogue,,date1,,
,Her expression changes in a moment.,Dialogue,,date,,
,What’s wrong with you!!,Dialogue,,date,date,
,Her cheeks are red and there are tears glistening in her eyes.,Dialogue,,date,,
,This is the worst date ever. You’re too cheap to even spend a cent on a carnival ride!,Dialogue,,date,date,
,"“Wait!!” You try to explain yourself, but it is too late. She storms off in the opposite direction without even glancing back.",Dialogue,,,,
,"You feel regret churning in your gut as you watch her leave, her expensive five inch heels clicking sharply against the pavement. They must have been made of patent leather, and you can’t believe you fumbled such a catch.",Dialogue,,,,
,"Sighing inwardly, you make your way back to the subway station.",Dialogue,,,,
,Seems like you need to lower your standards if you want to get a date on your budget.,Dialogue,,,,
A4,"“Hey,” you say. “Why don’t we check out the carousel?” ",Dialogue,park_alt.png,date,,
,Your date smiles for the first time in what seems like the past hour. ,Dialogue,,date,,
,That sounds fun!,Dialogue,,date,date,
,The two of you walk over and approach the operator. Your date looks at you expectantly. ,Dialogue,carousel.png,date1,,
,“It’s 25k won” the operator says. You hand over the cash.,Dialogue,,date1,,
,"The operator glares at you. “…Each,” he adds. ",Dialogue,,date1,,
,"What kind of magical carousel is this? You wonder. That’s about as much as you spend on your dinners each week, although your diet mostly consists of eggs and rice. ",Dialogue,,date1,,
,"Maybe you can save some cash and just watch her ride? That’s kind of creepy, but you can’t back out now!",Dialogue,,date1,,
,"[[“You go, I’ll just watch you!”, “A5”],[“Pay up and hop on.”, “A6”]]",Option,,,,
A5,Your date gives you a quizzical look. You try and play things off. ,Dialogue,carousel.png,date1,,
,"“I’m scared of horses,” you say. <i>Wow, way to look like a huge wimp,</i> you think.",Dialogue,,date1,,
,She looks you up and down.,Dialogue,,date1,,
,I guess that’s why you didn’t want to go to the stables.,Dialogue,,date,date,
,"“Heh heh, yeah…” You try and act calm, cool, and collected while you stand outside the carousel. <i>This isn’t going well.. you think.</i> ",Dialogue,,date1,,
,"After about two minutes, the ride comes to a close and your date hops back down to join you. You try and see if she looks like she’s enjoying herself more now, but you can’t tell.",Dialogue,,date1,,
A6,You begrudgingly hand over the cash and glare back at the attendant. He snatches it out of your hands and counts it loudly before opening the gate for you and your date. ,Dialogue,carousel.png,date1,,
,You walk in and hop on a purple-painted horse. Your date climbs up next to you. ,Dialogue,,date1,,
,"The carousel spins slowly, there’s nothing special about it. <i>Certainly</i> not work 25k won. You try to enjoy the ride but can’t help but think about how you just forked over more than twice the cost of your Netflix subscription for the month.",Dialogue,,date1,,
,"But you have to admit that it is nice to be sitting so close together. You think you see your date smiling, but you can’t tell. Maybe if you squint?",Dialogue,,date1,,
,After about two minutes (really? Just two minutes?) the ride comes to a halt. The two of you hop down and walk back to the main pathway. ,Dialogue,,date1,,
A7,"The two of you stroll down the main pathway, making superficial conversation. Suddenly, your date points out some tennis courts just down the way. ",Dialogue,park_alt.png,date1,,
,"Look! I love tennis! Can we play? Please, please, please?",Dialogue,,date,date,
,"This is the most excited she’s been all day. You know that this time, you should definitely follow through.",Dialogue,,date1,,
,You walk over to the attendant standing next to a shelf of rackets and balls. ,Dialogue,tennis.png,date1,,
,"“Welcome to the Olympic Park Tennis Courts!” She says, in an overly cheerful manner. “The rental price for balls, rackets, and 30 minutes of court time for two is 150k won!”",Dialogue,,date1,,
,*If  solo ride chosen* You budgeted 60k won maximum for this date and you’ve already spent some of it. This would put you way over the line. ,Dialogue,,date1,,
,*If duo ride chosen* You budgeted 60k won maximum for this date and you’ve already spent almost all of it. It’d be egregiously irresponsible if you paid for this on top of it…,Dialogue,,date1,,
,"“Why is it so expensive?” You ask. You see your date shoot you a look out of the corner of your eye. Uh, oh…",Dialogue,,date1,,
,"The court attendant looks genuinely hurt. “Well, sir.. this is the Olympic Park. Real Olympians have practiced on this court!!” She puffs out her chest and smiles at the last statement, as though she personally brought the Olympics here.",Dialogue,,date1,,
,	Your date looks at you expectantly.,Dialogue,,date1,,
,"[[“Sure!”, “A8”], [“I think we’ll pass”, “A9”]]",Option,,,,
A8,Your date whips around to look at you.,Dialogue,,date,,
,"Seriously?! I already agreed to go to this stupid park with you, and now we can’t even do a single thing I want to do because it’s expensive?!",Dialogue,,date,date,
,She stomps her foot. ,Dialogue,,date,,
,I’m going home. I can’t stand to be with a loser who can’t give me what I want because he’s too cheap.,Dialogue,,date,date,
,"I know what I’m worth, and I bet that thing about you being partner is all made up too. You guys are all the same.",Dialogue,,date,date,
,"You open your mouth to reply but it is too late. With that parting shot, your date is already quickly walking off. You and the tennis attendant stare at each other awkwardly. ",Dialogue,,,,
,Seems like you need to lower your standards if you’re going to find a successful date. You sigh inwardly. Maybe you should move to a cheaper neighborhood. ,Dialogue,,,,
A9,"You reach for your wallet, against your better judgement. Suddenly, you hear a rumbling. Is it your stomach protesting this extravagant spending? You ignore it and pull out your wallet.",Dialogue,,,,
,The rumbling gets louder. It’s definitely not your stomach. You look around. Nobody else seems to notice. Are you going crazy?!,Dialogue,,,,
,The rumbling keeps getting louder when suddenly… ,Dialogue,,,,
B,"You arrive at the stables. The whole environment is stuffy, you can tell everyone here is incredibly wealthy and probably owns some luxurious estate outside the city. You take a deep breath and try your best to blend in. ",Dialogue,stables.png,date1,,
,The attendant walks you through the barn to the stables. ,Dialogue,,date1,,
,"“Here we have the horses available for you to ride today. We have our finest thoroughbreds here – “ She points to a line of massive horses with a shiny coats. “But for those on more of a budget,” the attendant eyeball you suspiciously as she says this, “we have our mules here.” ",Dialogue,,date1,,
,She points to the stall across the way. The poor mule looks pathetic.,Dialogue,,date1,,
,"Your date turns to you, eyes glittering.",Dialogue,,date,,
,I’m excited to try the thoroughbred! I heard they’re the sweetest horses. And aren't they just so handsome!,Dialogue,,date,date,
,"She looks at you excitedly. At her side, the attendant glares at you impatiently, waiting for your choice.",Dialogue,,date,,
,"[[“Yes, the thoroughbreds of course!”, “B2”], [“I’ll take the mule, I like his gritty look.”, “B3”]]",Option,,,,
B2,"Your date raises her eyebrow, then looks a little embarrassed. You gulp, hopefully this doesn’t ruin your chances. ",Dialogue,,date1,,
,The attendant leads you and your mules to the arena. You spend the next hour prancing around the dirt while the instructor coaches you through the movement.,Dialogue,riding.png,date1,,
,"The mules were clearly the wrong choice. Their gait is uneven and harsh, you find yourself getting tossed from side to side. It’s clearly rougher for your date. She’s having trouble controlling the creature and looks flustered and embarrassed. Uh oh…",Dialogue,,date1,,
,"You dismount after the lesson and you attendant leads your mules back to the stables. Your date is quiet and looking dejected. She was so excited to go to the stables… Maybe the experience disappointed her? You better make sure nothing goes wrong for the rest of the outing, or else you have no chance at a second date.",Dialogue,stables.png,date1,,
,You walk up to the cashier at the front gate of the stables. The attendant types away at her computer. “Alright.. for a lesson with two mules… Your total will be 600k won.”,Dialogue,,date1,,
,"Your jaw drops, you can’t help it. That’s half your rent! You’re already on a tight budget. There’s no way you can responsibly afford this.",Dialogue,,date1,,
,"Your date notices your hesitation and turns to look at you. She was already disappointed, you can’t make this worse!",Dialogue,,date1,,
,B6,Goto,,,,
B3,You point towards the thoroughbred side and nod. You swear you hear a slight rumbling somewhere. Is that your stomach? You ignore it.,Dialogue,riding.png,date1,,
,The attendant leads you and your horses to the arena. You spend the next hour prancing around the dirt while the instructor coaches you through the movement.,Dialogue,,date1,,
,"The thoroughbreds were certainly the right choice. Their movement is graceful and elegant, and your date looks like a natural sitting on top of her noble steed. You even catch her smiling a few times! This is going well… if you ignore how much you’re about to spend that is…",Dialogue,,date1,,
,You dismount after the lesson and attendant leads your horses back to the stables. Your date is in a good mood and chatting away with you. This is going great! There might even be a second date in the future if you play your cards right.,Dialogue,stables.png,date1,,
,You walk up to the cashier at the front gate of the stables. The attendant types away at her computer. “Alright… for a lesson with two thoroughbreds… Your total will be 1.2 mil won.”,Dialogue,,date1,,
,"Your jaw drops, you can’t help it. That’s just as much as your rent! There’s no way you can responsibly afford this.",Dialogue,,date1,,
,But the date is going so well… and she’s the perfect partner for the highflying lawyer you’ll one day be… Maybe you should just cough it up and take some food delivery gigs?,Dialogue,,date1,,
,B6,Goto,,,,
B6,"“Uh…” You stammer, your palms are sweating. You need to decide. Put yourself in debt for the perfect partner… Or live within your means…",Dialogue,,date1,,
,"[[“You reach for your wallet.”, “B7”], [“You turn to your date hoping she’ll cover it.”, “B8”]]",Option,,,,
B7,You move your hand towards your wallet. It seems like there’s an unseen force holding back your movements. It takes all your strength to make it your pocket and grab the –unsettlingly thin—stack of cash.,Dialogue,,,,
,"Suddenly, you hear a rumbling in the distance. Are you hearing things?",Dialogue,,,,
,It starts to get louder. No one else is reacting. Are you going crazy? You turn to your date to ask if they hear something to when suddenly –,Dialogue,,,,
B8,"After a second, your date notices your gaze on her. Her eyes widen.",Dialogue,,date,,
,Seriously?! You’re asking ME to pay?!,Dialogue,,date,date,
,You’re the one who asked me on this date you… you loser!,Dialogue,,date,date,
,She storms off abruptly. You don’t even have time to respond. By the time you get your wits about you she’s long gone and probably already ordering a rideshare at the gates. ,Dialogue,,,,
,"The attendant looks at you. “Well, somebody has to pay.” She taps her pencil on the desk. You sigh and reach for your wallet.",Dialogue,,,,
,You’ll have to scrape by for the next month to afford rent at your high rise. Maybe you should budget your dates better? <i>Nah…</i> you think. You need to impress the ladies if you want to get a piece of eye candy that all the high rollers in Gangnam will approve of.,Dialogue,,,,
,"You hand over the cash and shuffle towards the exit. There’s no way you can afford a rideshare now, and you grimace at the thought of walking back to the city in your new leather oxfords.",Dialogue,,,,
,"Just as think this, you see your date at the side of the street, flagging down her driver.",Dialogue,,,,
,"<i>Huh,</i> you think. <i>They do call it a ride</i> share <i>after all…</i>",Dialogue,,,,
